species_name,taxonomic_family,taxonomic_order,asdawas,beak_length,weight_g,nocturnal_diurnal,brrrrkk,diet_types,closest_relatives,latitude,longitude,altitude_m,habitat_type,weather_condition,temperature_c,observation_time
Pica pica,Corvidae,Passeriformes,20.207460881366806,3.671951802581874,219.69609048296167,Diurnal,2025-08-08,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],28.307797763246263,-121.38921207967257,297.1483661878494,Grassland,Rainy,20.22775778908943,09:35
Gavia immer,Gaviidae,Gaviiformes,77.98280217415291,8.74663031316906,4560.806711500423,Diurnal,2025-05-03,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],28.522896969338795,-101.88512641519397,155.96885132766036,Wetland,Rainy,15.2725066874697,06:41
Cygnus olor,Anatidae,Anseriformes,114.89320498552418,11.145849821257912,13358.65807533704,Diurnal,2024-10-22,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],40.3130310233513,-124.19491115002094,161.76801255630002,Wetland,Windy,20.92429095848637,10:50
Gavia immer,Gaviidae,Gaviiformes,62.70326917073853,9.818604662201109,3953.2467635178564,Diurnal,2025-04-01,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],27.566762849428354,-110.25473858988875,210.29836126221952,Wetland,Foggy,24.383282987548032,13:47
Gavia immer,Gaviidae,Gaviiformes,71.53212556576149,9.763727157644327,4231.558505369329,Diurnal,2025-03-20,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],39.059826722221615,-106.75512850321853,119.38080779309227,Wetland,Rainy,11.679461100519477,18:16
Gavia immer,Gaviidae,Gaviiformes,70.21803630934411,9.98029302201001,4326.280100250404,Diurnal,2025-01-02,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],47.71380396478047,-107.94194542788048,131.17592815843977,Wetland,Clear,18.474682681872856,11:11
Pica pica,Corvidae,Passeriformes,19.876226711692762,3.14899190566589,192.41637164424944,Diurnal,2025-04-06,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],41.94536457157619,-93.7994237809344,89.28369085288807,Grassland,Cloudy,25.602836092864308,06:37
Strix varia,Strigidae,Strigiformes,32.05088452278996,4.541594424581118,681.1054005591102,Nocturnal,2025-02-26,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",24.554931204877782,-115.42390377870663,728.9565351658364,Forest,Rainy,12.533334787644907,05:51
Haemorhous mexicanus,Fringillidae,Passeriformes,11.003118016780212,1.2073149881411984,26.223407482383102,Diurnal,2025-05-14,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",27.04188364895674,-117.5028619491603,544.4039272123497,Urban,Cloudy,18.42344317089904,07:26
Gavia immer,Gaviidae,Gaviiformes,70.28017972467897,9.938854366451405,4719.110736721126,Diurnal,2025-08-22,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],30.465185289473812,-123.14157135086207,220.7548242572705,Wetland,Cloudy,19.71292486291626,14:19
Gavia immer,Gaviidae,Gaviiformes,64.82938191659314,9.329145828504222,4393.683316257049,Diurnal,2025-07-27,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],48.51783989084923,-121.76591472051497,203.358620792505,Wetland,Foggy,17.41520147883686,06:05
Pica pica,Corvidae,Passeriformes,22.82051977538373,3.3122172693899232,170.3499539327544,Diurnal,2025-08-27,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],32.1977210665944,-71.29614983628818,548.8972716805566,Grassland,Windy,19.18632899600954,18:27
Gavia immer,Gaviidae,Gaviiformes,71.46085789587063,9.282715443692652,4637.926137626617,Diurnal,2025-05-25,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],25.956846100406885,-84.56511220181646,116.09936568318562,Wetland,Windy,27.502092639935256,06:50
Haemorhous mexicanus,Fringillidae,Passeriformes,8.1504686218003,1.2572209664241067,18.926730481611937,Diurnal,2025-06-21,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",38.13723646306428,-99.53416480384121,382.36022155591286,Urban,Cloudy,22.48841942208057,08:26
Haemorhous mexicanus,Fringillidae,Passeriformes,9.603125661534758,1.2396502067797683,24.188243984924693,Diurnal,2024-09-25,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",35.59283725610865,-106.98880381014854,0.0,Urban,Rainy,14.061656519269574,18:39
Haemorhous mexicanus,Fringillidae,Passeriformes,9.645072166333483,1.2642599183637366,30.041439008457818,Diurnal,2025-03-16,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",30.927657687515286,-104.52023586169652,80.82680766115783,Urban,Cloudy,21.469526708364988,06:09
Strix varia,Strigidae,Strigiformes,35.67299681549403,4.104597801392907,816.5743907423414,Nocturnal,2024-12-18,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",47.23100824813338,-71.43166939499957,252.47277471779142,Forest,Clear,29.076294692834608,00:16
Cygnus olor,Anatidae,Anseriformes,109.51596671361241,10.797959804814779,12269.855262592579,Diurnal,2025-07-21,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],34.739608790678304,-81.82620749304519,48.362270795780994,Wetland,Windy,15.055638213887917,17:29
Cygnus olor,Anatidae,Anseriformes,119.2080285065365,10.14425804594539,11431.296613349237,Diurnal,2025-01-06,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],33.83559373055409,-101.50645734200127,162.84640602876817,Wetland,Cloudy,16.866570915710334,12:19
Strix varia,Strigidae,Strigiformes,28.493245860902167,4.260267753050837,705.6063074226012,Nocturnal,2025-09-06,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",29.202861357238014,-108.62889123987851,457.6499798683189,Forest,Foggy,17.587497660927824,21:27
Haemorhous mexicanus,Fringillidae,Passeriformes,10.08557483398082,1.060260597164809,17.41044773755346,Diurnal,2025-05-30,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",42.46776818516834,-111.78178557569494,605.485934608083,Urban,Rainy,18.70320414929306,18:10
Pica pica,Corvidae,Passeriformes,20.72728662307667,3.448356258885729,236.1345578036951,Diurnal,2025-01-08,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],30.818305439879268,-106.94484022302413,750.8667728680289,Grassland,Foggy,16.075906675277224,12:12
Cygnus olor,Anatidae,Anseriformes,112.40664540736246,9.872677199214635,13958.058605621289,Diurnal,2024-09-19,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],24.20178591688646,-86.20557541442375,73.1012920207278,Wetland,Cloudy,21.600050762676343,12:46
Gavia immer,Gaviidae,Gaviiformes,56.12173323330423,9.890865129817367,4874.446430575147,Diurnal,2024-12-29,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],38.42006665819346,-70.04864132256054,179.18274242691672,Wetland,Cloudy,20.180576917201403,16:07
Pica pica,Corvidae,Passeriformes,23.763160054331063,3.628997505633816,244.43157960854114,Diurnal,2025-02-10,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],29.371998128953038,-67.73579528302204,466.4322140793164,Grassland,Clear,25.28042806975057,15:42
Haemorhous mexicanus,Fringillidae,Passeriformes,9.173162439995641,1.3295613934475496,15.228374218625273,Diurnal,2024-12-16,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",42.14103274168144,-112.03341648388945,610.9745721105704,Urban,Windy,21.043166647075818,18:57
Cygnus olor,Anatidae,Anseriformes,108.04646806438677,10.323577292770617,11196.263499522,Diurnal,2025-02-02,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],27.202705369326022,-119.72699845859957,145.32213210379444,Wetland,Clear,15.312504034175872,12:15
Pica pica,Corvidae,Passeriformes,22.891641919177616,3.2377973906991655,242.51649992500165,Diurnal,2025-08-08,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],34.82752054746601,-76.38132932478902,366.972983086114,Grassland,Clear,14.473501347416448,15:37
Strix varia,Strigidae,Strigiformes,35.28154379470322,3.683519746373676,736.3355322404531,Nocturnal,2025-04-12,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",27.231767788427355,-67.49425034467345,483.334561369409,Forest,Foggy,12.165480411115302,19:06
Haemorhous mexicanus,Fringillidae,Passeriformes,10.259613727614143,1.1468903549108722,24.28709027248209,Diurnal,2024-10-30,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",45.8704516688274,-95.92018097526031,826.1280106137772,Urban,Rainy,14.905975033794727,12:13
Haemorhous mexicanus,Fringillidae,Passeriformes,9.961590160928742,1.2094660743695538,23.69252251100653,Diurnal,2024-11-19,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",32.70940929947965,-73.147692244876,393.1804647292743,Urban,Windy,14.954320497115512,18:11
Cygnus olor,Anatidae,Anseriformes,113.93982503054882,10.055154354438146,12084.804105188507,Diurnal,2025-08-18,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],33.802385789518695,-105.78762035750884,115.20196176656441,Wetland,Clear,23.73877383306163,13:39
Gavia immer,Gaviidae,Gaviiformes,70.38811296424802,9.449883029213614,4852.507620829359,Diurnal,2025-09-04,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],24.137003552840643,-82.83387557364868,114.23831850594634,Wetland,Cloudy,14.416692694434927,13:51
Haemorhous mexicanus,Fringillidae,Passeriformes,10.732555699872972,1.1764947117304938,21.686557424055692,Diurnal,2025-03-15,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",44.40314883228966,-85.90720954677275,268.5992639573126,Urban,Foggy,8.869435706015231,10:15
Haemorhous mexicanus,Fringillidae,Passeriformes,11.248576735920338,1.1807288262903304,19.031772775262294,Diurnal,2024-12-28,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",45.32475184916607,-103.87700465591116,337.29780376372685,Urban,Windy,16.023510360403613,16:52
Pica pica,Corvidae,Passeriformes,19.85491664805383,3.6443204315464954,308.9789672550422,Diurnal,2024-09-23,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],27.431355436004427,-102.89841110974191,578.2753625705082,Grassland,Windy,18.912093621716267,14:59
Gavia immer,Gaviidae,Gaviiformes,69.80207222131875,9.913177704376617,4702.868555780583,Diurnal,2024-10-06,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],47.47919454015829,-110.64957878365898,315.525782637847,Wetland,Foggy,15.779528908829674,15:24
Haemorhous mexicanus,Fringillidae,Passeriformes,10.16519994476696,1.2006209084294224,23.38030955446474,Diurnal,2025-04-15,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",41.70747534701093,-79.33882395019697,381.4137508686428,Urban,Windy,15.997831440721711,08:26
Gavia immer,Gaviidae,Gaviiformes,73.9222272386382,9.764751141407277,4775.354649842938,Diurnal,2024-12-02,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],31.058064943492546,-109.04933275045771,165.3640934279323,Wetland,Cloudy,23.965784874407056,14:51
Gavia immer,Gaviidae,Gaviiformes,70.16877623985295,9.662698465632884,4006.9853523803413,Diurnal,2025-08-09,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],39.875138620722836,-96.95310384200431,214.49113807322917,Wetland,Foggy,14.57369846380421,09:45
Strix varia,Strigidae,Strigiformes,38.32867218913009,4.28431823495733,668.709608486786,Nocturnal,2025-01-27,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",31.874853614625174,-116.8009845916595,405.7029903812932,Forest,Foggy,17.341119568443936,20:28
Strix varia,Strigidae,Strigiformes,33.24581651229651,4.067113210755571,761.6055413307787,Nocturnal,2025-03-21,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",40.53842566036104,-99.78941645537465,839.0023604498053,Forest,Foggy,19.38540961911942,00:59
Strix varia,Strigidae,Strigiformes,36.947031801118044,4.6072808420263325,704.3237298965573,Nocturnal,2024-10-03,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",28.39897050908918,-81.12704434079862,376.1143455468321,Forest,Foggy,14.689944543215145,19:09
Haemorhous mexicanus,Fringillidae,Passeriformes,10.11400043874207,1.088979740192591,25.789510127827302,Diurnal,2025-06-11,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",41.89262850512555,-104.70208504352269,606.7119548562187,Urban,Cloudy,16.572966820374038,11:13
Gavia immer,Gaviidae,Gaviiformes,61.59700171745425,9.662754519898304,4290.015629756622,Diurnal,2025-01-24,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],39.923717052221335,-78.54088465824705,58.64828867245734,Wetland,Rainy,20.40614324093953,17:00
Strix varia,Strigidae,Strigiformes,35.33280049209287,4.117151878752927,620.590514952183,Nocturnal,2024-09-25,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",28.836531245412168,-83.10354508287051,534.5725475345268,Forest,Windy,23.227222559526528,04:56
Haemorhous mexicanus,Fringillidae,Passeriformes,9.716437106447595,1.1149790115189713,23.964858634218025,Diurnal,2025-04-14,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",33.168844953378375,-96.7727359544664,475.70725096755837,Urban,Windy,29.227051468166213,10:19
Pica pica,Corvidae,Passeriformes,20.220256093578335,3.5692244846248453,249.50280435214188,Diurnal,2025-03-03,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],39.36193202202273,-121.11672892829462,453.453419057054,Grassland,Windy,20.815336900500984,09:09
Haemorhous mexicanus,Fringillidae,Passeriformes,8.751103218288801,1.3253011111557251,25.976837481528833,Diurnal,2024-10-21,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",33.32333746315011,-115.82888519210618,677.84093030598,Urban,Rainy,24.287635949627298,07:19
Cygnus olor,Anatidae,Anseriformes,113.57541624605881,10.077499047305757,12858.965976277097,Diurnal,2025-01-02,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],30.299313771446887,-70.91061481600474,61.347118941111304,Wetland,Clear,22.703498887504438,14:45
Haemorhous mexicanus,Fringillidae,Passeriformes,10.907637134134596,1.2276013650549806,23.417147558909633,Diurnal,2025-09-07,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",24.048655851569247,-100.3732164644295,189.53673277731923,Urban,Foggy,14.826306725307516,11:25
Pica pica,Corvidae,Passeriformes,20.10613735294281,3.433863278407217,227.88981369640922,Diurnal,2024-09-21,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],27.01245727536136,-100.58076227191792,541.8490996058658,Grassland,Cloudy,19.001090372556686,07:17
Cygnus olor,Anatidae,Anseriformes,121.98688670218831,10.101416162941748,12461.122065792582,Diurnal,2024-11-01,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],25.003118587713224,-98.452968300692,33.595345733360176,Wetland,Clear,22.37958955717633,11:52
Gavia immer,Gaviidae,Gaviiformes,71.26996749580233,9.769455892301139,4663.377589173673,Diurnal,2024-12-05,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],26.14707678351734,-97.4941995157018,69.37201195934367,Wetland,Rainy,20.276438297948957,16:14
Strix varia,Strigidae,Strigiformes,38.10527339817246,4.223649314834264,767.9533178143764,Nocturnal,2025-08-27,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",31.83215307849519,-71.6773857014656,557.1304435909498,Forest,Cloudy,13.77631366059564,21:13
Haemorhous mexicanus,Fringillidae,Passeriformes,11.280787413075423,1.1341896104717621,26.288586348654164,Diurnal,2024-10-16,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",24.19159587271015,-120.51489684795773,747.3699593462572,Urban,Clear,38.82487740160835,17:55
Gavia immer,Gaviidae,Gaviiformes,78.15223629653653,9.266793006790897,4754.146834535582,Diurnal,2024-11-05,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],39.26315832749377,-99.81663727025695,83.350087969751,Wetland,Rainy,17.78813288188214,17:17
Pica pica,Corvidae,Passeriformes,22.455547587215253,3.7341807113138836,269.59245071393684,Diurnal,2024-12-07,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],36.931917504121756,-101.2666495483944,645.6217824158957,Grassland,Foggy,16.69852642869119,18:01
Cygnus olor,Anatidae,Anseriformes,112.22854685069746,10.42925661294026,13044.045379361607,Diurnal,2025-07-16,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],34.1930682770208,-118.83348231158979,118.26260412524346,Wetland,Cloudy,22.24870538324534,17:39
Strix varia,Strigidae,Strigiformes,33.660780521907625,4.3231690693769,776.2098467465545,Nocturnal,2025-04-20,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",34.088300148597995,-106.22379804011153,598.5808816682312,Forest,Rainy,18.951262981668314,20:24
Haemorhous mexicanus,Fringillidae,Passeriformes,10.648684701221395,1.172571054807756,19.461844556914116,Diurnal,2025-02-26,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",26.78092841075508,-123.6213412911281,717.8662107630072,Urban,Foggy,15.238825986683164,15:18
Strix varia,Strigidae,Strigiformes,41.63289584992813,3.878501480525487,709.7018951398348,Nocturnal,2025-02-16,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",33.13797433824732,-101.75744873722556,408.8560014981482,Forest,Cloudy,23.116571591399655,20:33
Pica pica,Corvidae,Passeriformes,17.207300610392327,3.2655580147469614,240.75702456345647,Diurnal,2024-11-05,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],44.408246151866265,-95.52306714058257,470.35000188651776,Grassland,Windy,18.58026141949524,18:06
Strix varia,Strigidae,Strigiformes,38.38514898732823,4.04410407153404,642.9648297375726,Nocturnal,2025-06-15,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",29.4446119525496,-96.10230232564918,339.0001909871961,Forest,Foggy,15.019426986002328,05:33
Haemorhous mexicanus,Fringillidae,Passeriformes,11.411788826061146,1.0281937066747493,21.573194258812176,Diurnal,2025-08-29,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",47.25646586293173,-117.32060216548348,721.3550471059175,Urban,Windy,22.46946645705311,09:01
Strix varia,Strigidae,Strigiformes,27.17000826915282,4.071560177857409,756.9441895102613,Nocturnal,2024-11-07,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",29.243107273614807,-98.03254015826175,721.6985180312394,Forest,Windy,26.25818221131493,21:58
Cygnus olor,Anatidae,Anseriformes,104.82737984916368,10.43154508973113,11463.177754084645,Diurnal,2025-06-14,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],34.79342867584368,-79.5283226971858,131.49886347844972,Wetland,Clear,31.975296696506433,18:46
Haemorhous mexicanus,Fringillidae,Passeriformes,9.0524411226504,1.048629053222677,19.854391474665434,Diurnal,2025-02-06,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",37.43595019682401,-75.85689412966903,745.2655686219972,Urban,Clear,28.460549170002498,16:18
Cygnus olor,Anatidae,Anseriformes,123.49630924164079,9.568364289739435,13487.43313337597,Diurnal,2025-02-26,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],30.737187481024073,-95.77718805426055,88.75977700335802,Wetland,Cloudy,25.803883621785637,12:29
Strix varia,Strigidae,Strigiformes,36.2882589892543,4.03997282070989,704.137276531708,Nocturnal,2025-03-02,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",38.08078911007589,-98.35231475480894,629.6125260731517,Forest,Foggy,12.405638661997234,02:29
